NO,NO. POLISI,JENIS KENDARAAN,,,,UL ND,UL PLN,KEGUNAAN,PROJECT
,,,,,,,,,
,,,KAPASITAS TANKI BBM / L,JENIS BBM,KONSUMSI BBM / L,,,,
1,DA 8645 JK ,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,LAMANG,HARJARDU,DISTRIBUSI
2,DA 8647 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,PELAIHARI,HARJARDU,DISTRIBUSI
3,DA 8663 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,MARTAPURA,ROW ,DISTRIBUSI
4,DA 8655 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,MARABAHAN ,HARJARDU,DISTRIBUSI
5,DA 8652 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,BANJARBARU ,HARJARDU,DISTRIBUSI
6,DA 8644 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,A YANI,HAR A YANI ,DISTRIBUSI
7,DA 8654 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,BANJARBARU,TURBO 3,DISTRIBUSI
8,DA 8649 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,BANJARBARU ,TURBO 2,DISTRIBUSI
9,DA 8656 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,LAMANG,TURBO 1,DISTRIBUSI
10,DA 8650 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,GAMBUT,HAR,DISTRIBUSI
11,DA 8660 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,BANJARBARU ,ROW ,DISTRIBUSI
12,DA 8669 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,A YANI,ROW ,DISTRIBUSI
13,DA 8668 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,MARTAPURA,HAR BAN RIMBA ,DISTRIBUSI
14,DA 8661 JK ,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BANJARMASIN,BANJARBARU ,ROW,DISTRIBUSI
15,DA 8443 JK,Mitsubishi Colt Diesel 110 PS 6 Ban,100 Liter,Solar,6 - 8,UL BANJARMASIN,BANJARBARU ,HAR,DISTRIBUSI
16,DA 8418 JK,Mitsubishi Single Cabin HDX MT 4WD,75 Liter,Solar,9 - 11,UL BANJARMASIN,MARTAPURA,OPERASI ,DISTRIBUSI
17,DA 8264 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,BANJARBARU,OPERASI ,DISTRIBUSI
18,DA 8266 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,MARABAHAN,ROW,DISTRIBUSI
19,DA 8267 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,A YANI,ROW,DISTRIBUSI
20,DA 8268 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,BANJARBARU,ROW,DISTRIBUSI
21,DA 8315 JK,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL BANJARMASIN,PANYIPATAN,OPERASI ,DISTRIBUSI
