NO,NO. POLISI,JENIS KENDARAAN,,,,UL ND,UL PLN,KEGUNAAN,PROJECT
,,,,,,,,,
,,,KAPASITAS TANKI BBM,JENIS BBM,KONSUMSI BBM / L,,,,
1,DA 8673 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,ULP BARABAI KOTA OPS 12,OPS ,DISTRIBUSI
2,DA 8674 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,ULP BARABAI KOTA HAR JAR,HARJAR,DISTRIBUSI
3,DA 8675 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,ULP KANDANGAN HAR JAR DU,HARDU,DISTRIBUSI
4,DA 8670 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,ULP DAHA HAR JAR DU ROW,ROW,DISTRIBUSI
5,DA 8662 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,ULP TANJUNG OPS 12,OPS ,DISTRIBUSI
6,DA 8665 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,KP HARUAY OPS,OPS ,DISTRIBUSI
7,DA 8664 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,ULP TANJUNG HAR JAR DU,HAR DU,DISTRIBUSI
8,DA 8648 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,KP JUAI OPS,OPS ,DISTRIBUSI
9,DA 8646 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,ULP PARINGIN HAR JAR DU,HARDU,DISTRIBUSI
10,DA 8672 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,ULP AMUNTAI HAR JAR DU,HARDU,DISTRIBUSI
11,DA 8677 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,ULP RANTAU OPS 12,OPS ,DISTRIBUSI
12,DA 8676 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,ULP RANTAU HAR JAR DU,HARDU,DISTRIBUSI
13,DA 8653 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,KP PENGARON OPS,OPS ,DISTRIBUSI
14,DA 8651 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,KP SEI PINANG OPS,OPS ,DISTRIBUSI
15,DA 8659 JK,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL BARABAI,ULP BINUANG HAR JAR DU,HARDU,DISTRIBUSI
