NO,NO. POLISI,JENIS KENDARAAN,,,,UL ND,UL PLN,KEGUNAAN,PROJECT
,,,,,,,,,
,,,KAPASITAS TANKI BBM,JENIS BBM,KOINSUMSI BBM / L,,,,
1,KH8569TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,KAPUAS,OPJAR,DISTRIBUSI
2,KH8560TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,KAPUAS,ROW,DISTRIBUSI
3,KH8559TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,PULANG PISAU,PEMELIHARAAN,DISTRIBUSI
4,KH8562TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
5,KH8569TD,Toyota Hilux SC 2.0 MT,65 Liter,Bensin,8 - 10,UL KAPUAS,KAPUAS,HARJAR,DISTRIBUSI
6,KH 8186 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,KAPUAS,OPJAR,DISTRIBUSI
7,KH 8187 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,KAPUAS,OPJAR,DISTRIBUSI
8,KH 8223 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,KAPUAS,OPJAR,DISTRIBUSI
9,KH 8343 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,KAPUAS,OPJAR,DISTRIBUSI
10,KH 8221 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,KAPUAS,OPJAR,DISTRIBUSI
11,KH 8225 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,KAPUAS,OPJAR,DISTRIBUSI
12,KH 8188 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,KAPUAS,OPJAR,DISTRIBUSI
13,KH 8220 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,KAPUAS,ROW,DISTRIBUSI
14,KH 8167 AT,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,KAPUAS,PEMELIHARAAN,DISTRIBUSI
15,KH 8253 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
16,KH 8279 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
17,KH 8283 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
18,KH 8224 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
19,KH 8339 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
20,KH 8189 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,PULANG PISAU,ROW,DISTRIBUSI
21,KH 8371 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL KAPUAS,PULANG PISAU,ROW,DISTRIBUSI
22,KH 2130 YW,Honda Beat,"4,2 Liter",Bensin,58 - 60,UL KAPUAS,PULANG PISAU,KOORDINATOR,DISTRIBUSI
23,KH 2131 YW,Honda Beat,"4,2 Liter",Bensin,58 - 60,UL KAPUAS,KAPUAS,ASSESSMENT,DISTRIBUSI
24,KH 2160 YW,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL KAPUAS,PULANG PISAU,ASSESSMENT,DISTRIBUSI
25,KH 2116 YW,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL KAPUAS,KAPUAS,K3,DISTRIBUSI
26,KH 2166 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
27,KH 2177 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
28,KH 2179 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
29,KH 2178 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
30,KH 2167 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
31,KH 2161 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
32,KH 2165 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
33,KH 2164 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
34,KH 2163 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
35,KH 2162 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,PULANG PISAU,OPJAR,DISTRIBUSI
36,KH 2175 YW,Honda CRF 150,"7,2 Liter",Bensin,39 - 42,UL KAPUAS,KAPUAS,OPJAR,DISTRIBUSI
