NO,NO. POLISI,JENIS KENDARAAN,,,,UL ND,UL PLN,KEGUNAAN,PROJECT
,,,,,,,,,
,,,KAPASITAS TANKI BBM,JENIS BBM,KONSUMSI BBM/ L,,,,
1,KH 8203 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,PRY TIMUR,ROW,DISTRIBUSI
2,KH 8185 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,PRY BARAT,ROW,DISTRIBUSI
3,KH 8346 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KASONGAN,KASONGAN OPS,DISTRIBUSI
4,KH 8351 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KASONGAN,TANGKILING,DISTRIBUSI
5,KH 8327 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KUALA KURUN,SEPANG BAWAN,DISTRIBUSI
6,KH 8330 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,PRY TIMUR,TIMUR 11.2,DISTRIBUSI
7,KH 8362 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,PRY BARAT,KP TB JUTUH,DISTRIBUSI
8,KH 8368 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,PRY TIMUR,KP KALAMPANGAN,DISTRIBUSI
9,KH 8323 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,PRY TIMUR,KP BUKIT RAWI,DISTRIBUSI
10,KH 8320 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KUALA KURUN,OPS KURUN 11.1,DISTRIBUSI
11,KH 8367 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KUALA KURUN,KP TEWAH ,DISTRIBUSI
12,KH 8316 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KASONGAN,PETAK BAHANDANG,DISTRIBUSI
13,KH 8356 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KASONGAN,BUNTUT BALI,DISTRIBUSI
14,KH 8329 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KASONGAN,K.PANGI,DISTRIBUSI
15,KH 8319 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KASONGAN,PUNDU,DISTRIBUSI
16,KH 8328 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KASONGAN,PENDAHARA,DISTRIBUSI
17,KH 8350 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KASONGAN,KP LUWUK KANAN,DISTRIBUSI
18,KH 8324 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KUALA KURUN,KP MIRI,DISTRIBUSI
19,KH 8364 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PALANGKARAYA,KASONGAN,KP LUWUK KANAN,DISTRIBUSI
20,KH 1156 YB,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL PALANGKARAYA,PRY TIMUR,OPS TIMUR 11.1,DISTRIBUSI
21,KH 1157 YB,Daihatsu Terios,45 Liter,Bensin,12 - 14,UL PALANGKARAYA,PRY BARAT,OPS BARAT 11.1,DISTRIBUSI
22,KH 2123 YW,Honda Supra X 125 ,4 Liter,Bensin,57 - 61,UL PALANGKARAYA,TIMUR,PRC,DISTRIBUSI
23,KH 2124 YW,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL PALANGKARAYA,TIMUR,ASSESMENT,DISTRIBUSI
24,KH 2125 YW,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL PALANGKARAYA,BARAT,ASSESMENT,DISTRIBUSI
25,KH 2126 YW,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL PALANGKARAYA,KASONGAN,ASSESMENT 1,DISTRIBUSI
26,KH 2127 YW,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL PALANGKARAYA,KASONGAN,ASSESMENT 2 (BAUN BANGO),DISTRIBUSI
27,KH 2128 YW,Honda Supra X 125,4 Liter,Bensin,57 - 61,UL PALANGKARAYA,KUALA KURUN,ASSESMENT,DISTRIBUSI
28,DA 3737 CR,Honda Verza 150,"12,2 Liter",Bensin,43 - 46,UL PALANGKARAYA,KUALA KURUN,KP SEPANG BAWAN,DISTRIBUSI
