NO,NO. POLISI,JENIS KENDARAAN,,,,UL ND,UL PLN,KEGUNAAN
,,,,,,,,
,,,KAPASITAS TANKI BBM,JENIS BBM,KONSUMSI BBM / L,,,
1,DA 8402 JK,Mitsubishi Single Cabin HDX MT 4WD,75 Liter,Solar,9 - 11,UL PANGKALAN BUN,ULP P.BUN,KP PANGKALAN BANTENG
2,KH 8463 TD,Mitsubishi Single Cabin HDX MT 4WD,75 Liter,Solar,9 - 11,UL PANGKALAN BUN,ULP SAMPIT,KP TUMBANG SANGAI
3,KH 8464 TD,Mitsubishi Single Cabin HDX MT 4WD,75 Liter,Solar,9 - 11,UL PANGKALAN BUN,NANGA BULIK,HAR NANGA BULIK
4,KH 8340 TD ,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,SAMPIT,OPS SAMPIT 11.2) 
5,KH 8355 TD ,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,P.BUN,OPS P.BUN 11.1 (Kp Mantobi) 
6,KH 8357 TD ,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,P.BUN,DANAU SEMBULUH
7,KH 8325 TD ,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,P.BUN,SEI RANGIT
8,KH 8361 TD ,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,SAMPIT,SEBABI
9,KH 8352 TD ,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,SAMPIT,PEMBUANG HULU
10,KH 8201 TD ,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,P.BUN,KP TELUK BOGAM
11,KH 8317 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,P.BUN,KP RANTAU PULUT
12,KH 8345 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,P.BUN,KP. KUMAI
13,KH 8365 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,P.BUN,SUKAMANDANG
14,KH 8353 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,SAMPIT,KP CEMPAKA MULIA
15,KH 8366 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,SAMPIT,KP KOTA BESI
16,KH 8318 TD,Suzuki New Carry Pickup FD AC PS,43 Liter,Bensin,11 - 13,UL PANGKALAN BUN,SAMPIT,KP SAMUDA
